3001;1001;2001;15;255.0;30/06/2022
3002;1001;2001;15;255.0;30/07/2022
3003;1002;2002;10;450.0;30/08/2022
3004;1001;2001;15;255.0;30/06/2022
3005;1001;2001;15;255.0;01/07/2022
3006;1001;2001;5;255.0;01/07/2022
3007;1001;2001;5;255.0;01/07/2022
3008;1001;2001;5;255.0;01/07/2022
3009;1001;2001;5;255.0;01/07/2022
3010;1001;2001;5;255.0;01/07/2022
3011;1001;2001;5;255.0;01/07/2022
3012;1001;2001;5;255.0;01/07/2022
3013;1001;2001;5;255.0;01/07/2022
3014;1001;2001;5;255.0;01/07/2022
3015;1001;2001;5;255.0;01/07/2022
3016;1001;2001;5;255.0;01/07/2022
3017;1001;2002;10;450.0;01/07/2022
3018;1002;2002;10;450.0;01/07/2022
3019;1001;2003;4;320.0;01/07/2022
3020;1001;2001;5;255.0;01/07/2022
3021;1001;2001;5;255.0;01/07/2022
3022;1002;2002;51;450.0;01/07/2022
3023;1001;2001;10;255.0;01/07/2022
3024;1001;2001;10;255.0;01/07/2022
3025;1001;2001;5;255.0;01/07/2022
3026;1001;2004;10;229.0;01/07/2022
3027;1002;2002;10;450.0;01/07/2022
3028;1002;2001;12;255.0;01/07/2022
